"ReferenceID","LegalName","ReportingYear","FilingType","FilingStatus","MarketType","ProductName","ProposedRateIncrease","FinalRateIncrease","MemberAffected","DateEffective"
"BCCA-128095833","California Physicians' Service",2012,"Rate Filing","Completed","Small Group","Access + HMO Premier, Access + HMO Enhanced, Premier PPO, Access Baja HMO, Local Access + HMO Premier, Local Access + HMO Enhanced","5.9","5.9","240077","07/01/2012"
"HNLH-128126952","Health Net of California, Inc.",2012,"Annual/Aggregate Filing","Completed","Small Group","Aggregate Rate Data Form","N/A","N/A","N/A","2011"
"AETN-128126064","Aetna Health of California Inc.",2012,"Annual/Aggregate Filing","Completed","Small Group","Annual Aggregate Rate Data Report - DMHC","N/A","N/A","N/A","2011"
"BCCA-128130797","California Physicians' Service",2012,"New Product Filing","Completed","Individual","New IFP Products: Shield Secure, Shield Secure Plus, Shield Wise, and Shield Saver Plans","New Products","New Products","","07/01/2012"
"CCHP-128139130","Chinese Community Health Plan",2012,"Annual/Aggregate Filing","Completed","Small Group","CCHP SG Ruby & Opal Plans","N/A","N/A","N/A","2011"
"CCHP-128138717","Chinese Community Health Plan",2012,"Annual/Aggregate Filing","Completed","Individual","CCHP IFP Jade & Amber Plans","N/A","N/A","N/A","2011"
"HNLH-128139119","Health Net of California, Inc.",2012,"Rate Filing","Completed","Small Group","A1086 SBG Non-HIPC rates Eff 5/1/12","6.4","6.4","165324","05/01/2012"
"GEHP-128139877","GEMCare Health Plan, Inc.",2012,"Annual/Aggregate Filing","Completed","Small Group","Aggregate Rate Data Report Form_Annual for 2011","N/A","N/A","N/A","2011"
"HNLH-128139675","Health Net of California, Inc.",2012,"New Product Filing","Completed","Small Group","SmartCare New Product Filing 5-12","New Products","New Products","","05/01/2012"
"KHPI-128126421","Kaiser Foundation Health Plan, Inc.",2012,"Annual/Aggregate Filing","Completed","Small Group","CA Annual Aggregate Rate Data Report","N/A","N/A","N/A","2011"
"MISF-128152598","County of Ventura",2012,"Annual/Aggregate Filing","Completed","Individual","Ventura County Health Care Plan","N/A","N/A","N/A","2011"
"AWLP-128254520","Blue Cross of California",2012,"Annual/Aggregate Filing","Completed","Individual","Annual Aggregate Rate Data Form","N/A","N/A","N/A","2011"
"AWLP-128250099","Blue Cross of California",2012,"New Product Filing","Completed","Small Group","Deductible 3000/4000 Plans","New Products","New Products","","07/01/2012"
"WNHA-128314178","Western Health Advantage",2012,"New Product Filing","Completed","Individual","Inidividual Product","New Products","New Products","","07/01/2012"
"KHPI-128191279","Kaiser Foundation Health Plan, Inc.",2012,"Rate Filing","Completed","Individual","KFHP Individual HMO Plans","9.0","9.0","17653","07/01/2012"
"KHPI-128222001","Kaiser Foundation Health Plan, Inc.",2012,"Rate Filing","Completed","Small Group","KFHP SBU HMO Plans","8.2","8.2","299943","07/01/2012"
"SHHP-128309599","Sharp Health Plan",2012,"Rate Filing","Completed","Small Group","CalChoice 7.1.12 Small Group Rates","4.6","4.6","1748","07/01/2012"
"AETN-128302208","Aetna Health of California Inc.",2012,"Rate Filing","Completed","Small Group","Aetna SG AHI-CA 07012012","6.6","6.6","70956","07/01/2012"
"WNHA-128317801","Western Health Advantage",2012,"Rate Filing","Completed","Small Group","Small Group","8.7","8.7","26956","07/01/2012"
"KHPI-128222061","Kaiser Foundation Health Plan, Inc.",2012,"Rate Filing","Completed","Small Group","KFHP SBU POS Plans","8.0","8.0","359","07/01/2012"
"HNLH-128323439","Health Net of California, Inc.",2012,"Rate Filing","Completed","Small Group","CalChoice Small Business Group HMO","9.8","9.8","23140","07/01/2012"
